ID,pseudostem_height_cyc1,bunch_weight_cyc1,numb_hands_cyc1,numb_fruits_cyc1,sap_colour,petiole_canal_leaf_III,rachis_position,male_bud_shape,pulp_colour_maturity
01AUS0430098,225,7.5,4.5,NULL,1,3,1,3,NULL
01AUS0430099,275,12.5,3.5,NULL,1,1,1,3,3
01AUS0430100,275,7.5,5.5,NULL,1,3,1,2,4
01AUS0430101,275,12.5,4.5,NULL,1,1,1,3,3
01AUS0430102,275,7.5,2.5,NULL,1,4,1,2,4
01AUS0430103,325,7.5,6.5,NULL,1,2,2,3,4
01AUS0430104,375,22.5,9.5,NULL,1,4,1,3,3
01AUS0430105,275,7.5,5.5,NULL,1,2,1,3,4
01AUS0430106,325,7.5,8.5,NULL,1,4,1,3,5
01AUS0430107,375,12.5,7.5,NULL,1,3,1,3,3
01AUS0430108,NULL,NULL,NULL,NULL,2,1,NULL,2,3
01AUS0430109,225,2.5,4.5,NULL,2,1,1,0,5
01AUS0430110,475,27.5,7.5,NULL,2,5,1,4,1
01AUS0430111,225,2.5,4.5,NULL,1,3,3,2,4
01AUS0430112,175,7.5,6.5,NULL,1,1,1,2,0
01AUS0430113,275,17.5,8.5,NULL,2,1,1,3,5
01AUS0430114,275,2.5,5.5,NULL,1,2,1,1,5
01AUS0430115,225,2.5,4.5,NULL,1,1,1,2,0
01AUS0430116,225,7.5,5.5,NULL,2,1,1,2,5
01AUS0430117,475,12.5,8.5,NULL,3,4,1,3,2
01AUS0430118,275,7.5,4.5,NULL,1,1,1,2,4
01AUS0430119,375,12.5,9.5,NULL,1,4,1,3,4
01AUS0430120,375,7.5,5.5,NULL,1,3,1,2,3
01AUS0430121,475,27.5,9.5,NULL,2,4,1,3,5
01AUS0430122,525,32.5,9.5,NULL,1,4,1,2,2
01AUS0430123,275,7.5,5.5,NULL,2,2,1,3,5
01AUS0430124,225,2.5,5.6,NULL,1,2,0,2,5
01AUS0430125,225,7.5,4.5,NULL,1,2,1,1,2
01AUS0430126,275,7.5,6.5,NULL,2,2,1,3,5
01AUS0430127,NULL,NULL,NULL,NULL,2,3,1,1,3
01AUS0430130,225,2.5,6.5,NULL,2,4,1,2,5
01AUS0430131,325,7.5,6.5,NULL,2,1,3,2,3
01AUS0430132,275,2.5,5.5,NULL,2,4,1,2,5
01AUS0430134,325,2.5,6.5,NULL,2,2,1,1,5
01AUS0430135,325,22.5,9.5,NULL,2,1,2,2,2
01AUS0430136,NULL,NULL,NULL,NULL,1,2,2,3,NULL
01AUS0430138,275,2.5,10.5,NULL,2,2,3,2,0
01AUS0430139,325,7.5,7.5,NULL,1,1,1,1,5
01AUS0430140,225,7.5,5.5,NULL,1,1,1,2,3
01AUS0430141,425,12.5,11.5,NULL,1,4,1,2,0
01AUS0430142,325,7.5,5.5,NULL,1,1,2,2,3
01AUS0430143,275,12.5,8.5,NULL,1,4,1,3,5
01AUS0430144,275,2.5,4.5,NULL,1,4,3,3,5
01AUS0430145,275,7.5,5.5,NULL,1,2,1,3,4
01AUS0430146,225,2.5,5.5,NULL,2,1,1,2,NULL
01AUS0430147,325,2.5,9.5,NULL,1,2,1,2,4
01AUS0430148,325,7.5,3.5,NULL,1,3,1,2,2
01AUS0430149,475,22.5,8.5,NULL,2,1,1,3,4
01AUS0430150,375,7.5,5.5,NULL,1,3,1,2,5
01AUS0430151,325,7.5,6.5,NULL,1,1,1,3,2
01AUS0430152,275,2.5,5.5,NULL,2,1,1,0,NULL
01AUS0430153,275,12.5,6.5,NULL,1,1,0,3,4
01AUS0430154,425,12.5,6.5,NULL,1,1,1,2,4
01AUS0430155,325,7.5,6.5,NULL,1,2,1,3,4
01AUS0430156,325,12.5,7.5,NULL,1,1,3,3,3
01AUS0430157,425,12.5,5.5,NULL,2,1,1,3,3
01AUS0430158,375,22.5,8.5,NULL,2,2,1,2,5
01AUS0430159,325,12.5,6.5,NULL,2,2,1,1,5
01AUS0430161,375,12.5,8.5,NULL,1,3,1,2,4
01AUS0430162,475,27.5,11.5,NULL,1,3,1,4,4
01AUS0430163,225,12.5,8.5,NULL,1,1,3,4,3
01AUS0430164,325,7.5,9.5,NULL,1,1,1,3,4
01AUS0430165,225,7.5,6.5,NULL,2,1,1,3,4
01AUS0430166,375,22.5,4.5,NULL,1,4,3,3,5
01AUS0430167,325,7.5,8.5,NULL,1,1,1,2,4
01AUS0430168,225,7.5,5.5,NULL,1,2,1,2,4
01AUS0430169,325,7.5,4.5,NULL,1,2,1,2,4
01AUS0430170,275,12.5,6.5,NULL,1,2,1,2,4
01AUS0430171,275,7.5,3.5,NULL,1,2,1,3,5
01AUS0430172,225,2.5,5.5,NULL,1,2,3,3,5
01AUS0430173,275,7.5,5.5,NULL,1,4,1,2,5
01AUS0430174,275,2.5,4.5,NULL,1,1,3,2,5
01AUS0430175,225,2.5,NULL,NULL,2,4,1,2,5
01AUS0430176,275,7.5,6.5,NULL,2,4,1,3,5
01AUS0430178,275,7.5,11.5,NULL,2,1,1,3,0
01AUS0430179,NULL,NULL,NULL,NULL,1,2,1,3,NULL
01AUS0430180,225,2.5,4.5,NULL,2,1,1,1,5
01AUS0430181,375,12.5,7.5,NULL,2,4,1,4,4
01AUS0430182,275,7.5,6.5,NULL,1,2,0,3,NULL
01AUS0430183,275,7.5,4.5,NULL,1,2,1,3,5
01AUS0430184,275,7.5,5.5,NULL,1,1,1,2,4
01AUS0430186,325,2.5,9.5,NULL,1,2,1,3,0
01AUS0430187,275,7.5,4.5,NULL,1,2,1,2,4
01AUS0430188,325,12.5,7.5,NULL,2,2,0,4,4
01AUS0430190,325,2.5,11.5,NULL,2,2,1,3,0
01AUS0430191,275,7.5,5.5,NULL,1,3,1,2,4
01AUS0430192,275,2.5,9.5,NULL,2,4,1,2,0
01AUS0430193,275,12.5,8.5,NULL,2,2,1,3,4
01AUS0430194,375,22.5,5.5,NULL,1,2,1,2,5
01AUS0430195,275,2.5,3.5,NULL,1,1,3,3,4
01AUS0430196,325,12.5,4.5,NULL,1,1,1,2,4
01AUS0430197,425,17.5,7.5,NULL,1,2,1,3,5
